Gene1	Gene2	combine_score
AARS2	PTPA	0.255
AARS2	PUS1	0.497
AARS2	PYCR2	0.313
AARS2	QTRT1	0.392
AARS2	QTRT2	0.367
AARS2	RAD17	0.560
AARS2	RARS2	0.905
AARS2	RPA1	0.667
AARS2	RPL23	0.400
AARS2	RPS18	0.553
AARS2	SARS2	0.793
AARS2	SHMT2	0.394
AARS2	SHPK	0.489
AARS2	SNAPC4	0.316
AARS2	SRPRA	0.382
AARS2	SUMF1	0.268
AARS2	TACO1	0.506
AARS2	TARS2	0.910
AARS2	TATDN2	0.232
AARS2	TENT4A	0.718
AARS2	TPST2	0.226
AARS2	TRIM11	0.266
AARS2	TRIM21	0.387
AARS2	TRIM33	0.397
AARS2	TRIM68	0.178
AARS2	TRMT1	0.302
AARS2	TRMT10C	0.380
AARS2	TRMT5	0.341
AARS2	TRMU	0.447
AARS2	TRNT1	0.475
AARS2	TSFM	0.780
AARS2	TTC5	0.384
AARS2	TUFM	0.544
AARS2	UQCRC1	0.419
AARS2	VARS2	0.937
AARS2	WARS2	0.876
AARS2	XBP1	0.375
AARS2	XRCC3	0.386
AARS2	YARS1	0.927
AARS2	YARS2	0.890
AARS2	YME1L1	0.386
AARS2	ZNF133	0.225
AARS2	ZNF212	0.344
AARS2	ZNF213	0.152
AARS2	ZNF324	0.246
AARS2	ZNF324B	0.233
AARS2	ZNF343	0.343
AARS2	ZNF45	0.253
AARS2	ZNF496	0.194
AARS2	ZNF517	0.159
AARS2	ZNF543	0.152
AARS2	ZNF584	0.221
AARS2	ZNF619	0.193
AARS2	ZNF696	0.265
AARS2	ZNF764	0.221
AARS2	ZNF786	0.229
AARS2	ZSCAN25	0.530
AASDHPPT	AASS	0.531
AASDHPPT	ABCB6	0.297
AASDHPPT	ACACB	0.539
AASDHPPT	ACLY	0.492
AASDHPPT	ACO2	0.301
AASDHPPT	ACPP	0.518
AASDHPPT	ACSF2	0.286
AASDHPPT	ACSF3	0.286
AASDHPPT	ADH5	0.401
AASDHPPT	AGPS	0.408
AASDHPPT	ALDH3A1	0.284
AASDHPPT	ALDH3A2	0.290
AASDHPPT	AP2S1	0.251
AASDHPPT	ARG2	0.518
AASDHPPT	ASF1A	0.315
AASDHPPT	ATP5F1B	0.693
AASDHPPT	BACE1	0.673
AASDHPPT	BRCC3	0.313
AASDHPPT	BRD4	0.541
AASDHPPT	BRPF3	0.222
AASDHPPT	CDC5L	0.483
AASDHPPT	CDIPT	0.295
AASDHPPT	CMPK1	0.242
AASDHPPT	CNTNAP1	0.441
AASDHPPT	COASY	0.913
AASDHPPT	CRLS1	0.395
AASDHPPT	CRYM	0.244
AASDHPPT	CTRB1	0.248
AASDHPPT	CTRB2	0.250
AASDHPPT	CUL5	0.304
AASDHPPT	DCUN1D4	0.311
AASDHPPT	DDX1	0.249
AASDHPPT	DLAT	0.342
AASDHPPT	DLD	0.845
AASDHPPT	DNA2	0.245
AASDHPPT	EP300	0.238
AASDHPPT	EXO1	0.261
AASDHPPT	FASN	0.987
