protein,relation,pathway
GNAT3,associatedWith,R-HSA-112043
GNAZ,associatedWith,R-HSA-112043
ITPR1,associatedWith,R-HSA-112043
ITPR2,associatedWith,R-HSA-112043
ITPR3,associatedWith,R-HSA-112043
PLCB1,associatedWith,R-HSA-112043
PLCB2,associatedWith,R-HSA-112043
PLCB3,associatedWith,R-HSA-112043
PLCB4,associatedWith,R-HSA-112043
ALKBH2,associatedWith,R-HSA-112122
ALKBH3,associatedWith,R-HSA-112126
ASCC1,associatedWith,R-HSA-112126
ASCC2,associatedWith,R-HSA-112126
ASCC3,associatedWith,R-HSA-112126
GJA10,associatedWith,R-HSA-112303
GJC1,associatedWith,R-HSA-112303
GJD2,associatedWith,R-HSA-112303
PANX1,associatedWith,R-HSA-112303
PANX2,associatedWith,R-HSA-112303
CACFD1,associatedWith,R-HSA-112308
CACNA1A,associatedWith,R-HSA-112308
CACNA1B,associatedWith,R-HSA-112308
CACNA1E,associatedWith,R-HSA-112308
CACNA2D2,associatedWith,R-HSA-112308
CACNA2D3,associatedWith,R-HSA-112308
CACNB1,associatedWith,R-HSA-112308
CACNB2,associatedWith,R-HSA-112308
CACNB3,associatedWith,R-HSA-112308
CACNB4,associatedWith,R-HSA-112308
CACNG2,associatedWith,R-HSA-112308
CACNG4,associatedWith,R-HSA-112308
NAAA,associatedWith,R-HSA-112310
ACHE,associatedWith,R-HSA-112311
BCHE,associatedWith,R-HSA-112311
SLC22A1,associatedWith,R-HSA-112311
SLC22A2,associatedWith,R-HSA-112311
GLRA1,associatedWith,R-HSA-112314
GLRA2,associatedWith,R-HSA-112314
GLRA3,associatedWith,R-HSA-112314
GLRA4,associatedWith,R-HSA-112314
GLRB,associatedWith,R-HSA-112314
HTR3A,associatedWith,R-HSA-112314
HTR3B,associatedWith,R-HSA-112314
HTR3C,associatedWith,R-HSA-112314
HTR3D,associatedWith,R-HSA-112314
HTR3E,associatedWith,R-HSA-112314
AFF4,associatedWith,R-HSA-112382
CCNH,associatedWith,R-HSA-112382
CCNK,associatedWith,R-HSA-112382
CCNT1,associatedWith,R-HSA-112382
CCNT2,associatedWith,R-HSA-112382
CDC73,associatedWith,R-HSA-112382
CDK7,associatedWith,R-HSA-112382
CDK9,associatedWith,R-HSA-112382
CTDP1,associatedWith,R-HSA-112382
CTR9,associatedWith,R-HSA-112382
EAF1,associatedWith,R-HSA-112382
EAF2,associatedWith,R-HSA-112382
ELL,associatedWith,R-HSA-112382
ELOA,associatedWith,R-HSA-112382
ELOA2,associatedWith,R-HSA-112382
ELOA3,associatedWith,R-HSA-112382
ELOA3B,associatedWith,R-HSA-112382
ELOA3D,associatedWith,R-HSA-112382
ELOB,associatedWith,R-HSA-112382
ELOC,associatedWith,R-HSA-112382
ERCC2,associatedWith,R-HSA-112382
ERCC3,associatedWith,R-HSA-112382
GTF2F1,associatedWith,R-HSA-112382
GTF2F2,associatedWith,R-HSA-112382
GTF2H1,associatedWith,R-HSA-112382
GTF2H2,associatedWith,R-HSA-112382
GTF2H3,associatedWith,R-HSA-112382
GTF2H4,associatedWith,R-HSA-112382
GTF2H5,associatedWith,R-HSA-112382
IWS1,associatedWith,R-HSA-112382
LEO1,associatedWith,R-HSA-112382
MLLT1,associatedWith,R-HSA-112382
MLLT3,associatedWith,R-HSA-112382
MNAT1,associatedWith,R-HSA-112382
NCBP1,associatedWith,R-HSA-112382
NCBP2,associatedWith,R-HSA-112382
NELFA,associatedWith,R-HSA-112382
NELFB,associatedWith,R-HSA-112382
NELFCD,associatedWith,R-HSA-112382
NELFE,associatedWith,R-HSA-112382
PAF1,associatedWith,R-HSA-112382
POLR2A,associatedWith,R-HSA-112382
POLR2B,associatedWith,R-HSA-112382
POLR2C,associatedWith,R-HSA-112382
POLR2D,associatedWith,R-HSA-112382
POLR2E,associatedWith,R-HSA-112382
POLR2F,associatedWith,R-HSA-112382
POLR2G,associatedWith,R-HSA-112382
POLR2H,associatedWith,R-HSA-112382
POLR2I,associatedWith,R-HSA-112382
POLR2J,associatedWith,R-HSA-112382
POLR2K,associatedWith,R-HSA-112382
POLR2L,associatedWith,R-HSA-112382
RTF1,associatedWith,R-HSA-112382
SSRP1,associatedWith,R-HSA-112382
SUPT16H,associatedWith,R-HSA-112382
SUPT4H1,associatedWith,R-HSA-112382
SUPT5H,associatedWith,R-HSA-112382
SUPT6H,associatedWith,R-HSA-112382
